imageid,imageType,model,loss,classType,colorMode,clean,crop,resize,colorCorrect,baseTrain,activation,wloss,lr,learningDecay,earlyStop,epochsMax,epochs,voting, trainTime, accuracy
0,ALL,vgg16,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,182.6844672820007,77
1,ALL,vgg16,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,181.56903602401144,77
2,ALL,vgg16,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,136,0,123.42164993898768,69
3,ALL,vgg16,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,181.37087531000725,77
4,ALL,vgg19,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,148,0,139.02136491700367,69
5,ALL,vgg19,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,186.0593685519998,63
6,ALL,vgg19,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,186.12841198399838,75
7,ALL,vgg19,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,121,0,114.49266666198673,66
8,ALL,inception,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,192.30377832699742,77
9,ALL,inception,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,198,0,185.18996817800507,83
10,ALL,inception,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,140,0,132.23751561700192,83
11,ALL,inception,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,115,0,111.86162628600141,83
12,ALL,xception,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,187,0,175.0950318420073,86
13,ALL,xception,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,182.82900548999896,86
14,ALL,xception,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,184.3071866849932,83
15,ALL,xception,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,185.67482530800044,83
16,ALL,resnet50,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,185.55671356400126,80
17,ALL,resnet50,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,185.4975957120041,75
18,ALL,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,182.39429219999874,72
19,ALL,resnet50,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,196,0,181.77200304099824,88
20,ALL,resnet101,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,158,0,165.6559252110019,77
21,ALL,resnet101,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,200.4781610600039,72
22,ALL,resnet101,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,198.18061890799436,69
23,ALL,resnet101,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,150,0,150.65494386399223,77
24,ALL,densenet,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,194.47800949800876,80
25,ALL,densenet,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,190.33013549599855,80
26,ALL,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,142,0,138.5935066480015,77
27,ALL,densenet,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,185,0,177.11026539999875,83
28,ALL,inceptionResnet,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,215.2118966549897,63
29,ALL,inceptionResnet,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,211.33194748699316,63
30,ALL,inceptionResnet,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,169,0,180.78443286499532,69
31,ALL,inceptionResnet,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,217.08083324799372,72
32,ALL,vgg16,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,179.536887654991,63
33,ALL,vgg16,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,161,0,144.51214069400157,75
34,ALL,vgg16,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,170,0,152.86089678700955,77
35,ALL,vgg16,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,125,0,113.31236339699535,75
36,ALL,vgg19,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,159,0,148.00984661800612,63
37,ALL,vgg19,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,105,0,97.66863457299769,61
38,ALL,vgg19,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,184.77567942898895,47
39,ALL,vgg19,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,152,0,140.07698274200084,63
40,ALL,inception,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,187.0793793569901,80
41,ALL,inception,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,148,0,138.75151068999548,83
42,ALL,inception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,154,0,141.2304586780083,83
43,ALL,inception,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,134,0,125.2722292200051,83
44,ALL,xception,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,183,0,168.84202450200974,86
45,ALL,xception,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,178,0,164.65413690599962,86
46,ALL,xception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,182.610765179008,72
47,ALL,xception,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,184.45136034600728,80
48,ALL,resnet50,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,184.36731670200243,75
49,ALL,resnet50,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,124,0,115.45761925099941,75
50,ALL,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,179.20574768799997,63
51,ALL,resnet50,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,178.7178617160098,80
52,ALL,resnet101,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,198.3538128490036,75
53,ALL,resnet101,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,197.91410970399738,75
54,ALL,resnet101,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,195.906976208993,66
55,ALL,resnet101,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,196.8046697100217,75
56,ALL,densenet,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,192.7617611210153,80
57,ALL,densenet,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,149,0,141.57498317799764,80
58,ALL,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,185.46208942800877,75
59,ALL,densenet,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,176,0,167.8813844320248,83
60,ALL,inceptionResnet,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,213.777645604976,66
61,ALL,inceptionResnet,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,214.85361615399597,69
62,ALL,inceptionResnet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,209.78299643599894,58
63,ALL,inceptionResnet,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,214.0599069680029,52
64,ALL,vgg16,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,96,0,87.41242847499984,50
65,ALL,vgg19,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,97,0,89.8601234109999,50
66,ALL,inception,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,96,0,89.117601165,52
67,ALL,xception,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,180.1525749519999,52
68,ALL,resnet50,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,127,0,116.50451073500017,55
69,ALL,resnet101,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,98,0,97.37367900800018,52
70,ALL,densenet,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,98,0,92.22994055899971,50
71,ALL,inceptionResnet,focal,multiclass,LAB,False,False,True,False,False,relu,False,0.001,False,True,200,101,0,109.9051789770001,55
72,NR,inception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,185,0,97.8635862340002,83
73,NR,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,106,0,56.52504308499965,66
74,NR,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,146,0,82.19546978400012,72
75,NR,xception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,182,0,91.95502349900016,72
76,R,inception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,98,0,53.84291676000021,77
77,R,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,98.42855800300003,38
78,R,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,135,0,73.29807973100014,77
79,R,xception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,140,0,74.2763361960001,72
80,NR,inception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,166,0,88.69244063600036,77
81,NR,densenet,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,108,0,64.58186598599968,77
82,NR,xception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,155,0,79.39407177999965,83
83,R,inception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,119,0,64.8655849679999,72
84,R,densenet,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,200,0,104.6938312000002,55
85,R,xception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,143,0,74.11670220999986,83
86,NR,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,102,0,59.50571702900015,77
87,NR,densenet,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,153,0,84.01391816200066,66
88,NR,xception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,200,0,99.99725371099976,88
89,R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,163,0,85.58730702499997,88
90,R,densenet,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,154,0,85.30017850200056,77
91,R,xception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,106,0,58.02456040600009,83
92,NR,inception,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,103,0,58.94591731899982,83
93,NR,densenet,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,191,0,103.14233495999997,77
94,NR,xception,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,153,0,77.58378403000006,88
95,R,inception,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,160,0,84.82833072299945,83
96,R,densenet,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,155,0,86.26043583699993,77
97,R,xception,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,110,0,58.62314514100035,83
98,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,175,0,93.349856784,83
99,R,densenet,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,133,0,72.05960667900001,77
100,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,130,0,68.91704745600009,88
101,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,172,0,91.40049829100008,83
102,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,125,0,62.21593289800012,64
103,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,143,0,70.6448693110001,68
104,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,107,0,56.35121727500018,72
105,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,110,0,57.85054232199991,55
106,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,126,0,64.30860082300023,72
107,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,117,0,56.98854567299986,58
108,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,121,0,57.80181418700022,57
109,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,161,0,81.69042510600002,77
110,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,112,0,57.662904401000105,55
112,LOO-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,30,99.78571799909696,20.0
113,LOO-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,30,100.15781449293718,98.88888888888889
114,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,104.32498862594366,55
115,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,184,0,87.80836796799997,83
116,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,148,0,70.08167360299996,77
117,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,93.51211625300004,61
118,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,93.90518764199999,66
119,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,93.660004706,72
120,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,158,0,74.63864447200001,77
121,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,196,0,92.27358389899996,83
122,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,187,0,88.48340830899997,83
123,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,93.56278014399993,72
124,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,108,0,51.9156742780001,77
125,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,153,0,72.50341048899986,83
126,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,106,0,51.15451969500009,83
127,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,101,0,48.48479403500005,77
128,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,138,0,65.6719588269998,83
129,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,128,0,61.316365630000064,88
130,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,113,0,54.50540393799997,83
131,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,137,0,65.0467679620001,83
132,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,147,0,69.97888388399997,83
133,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,140,0,66.793620853,83
134,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,106,0,50.504919325999936,83
135,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,174,0,84.00198153999918,88
136,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,133,0,63.64380408500074,77
137,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,150,0,71.43769831400095,77
138,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,148,0,70.76591232200008,77
139,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,94.61041517299964,61
140,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,94.9362284079998,61
141,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,100,0,48.294550933998835,72
142,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,159,0,75.92172913600007,77
143,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,197,0,92.89785221900092,77
144,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,151,0,72.37121481099894,83
145,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,196,0,93.5869159670001,83
146,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,116,0,56.56324495300214,83
147,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,123,0,59.3477795660001,88
148,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,107,0,52.03639229500186,88
149,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,102,0,49.62220665099812,77
150,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,136,0,65.32631374300036,77
151,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,114,0,55.37742070100285,83
152,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,107,0,51.94199365699751,83
153,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,128,0,61.41934838999805,88
154-1,NR,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,157,0,75.61357270399822,83
155,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,149,30,72.48837693897076,72
156,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,182,30,86.01144948299043,72
157,NR,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,109,30,52.98404970404226,55
